station_name,lat,lon,total_rides,subscriber_rides,customer_rides,path_id
"Michigan Ave & Oak St",41.90096039,-87.62377664,4077,840,3237,668
"Broadway & Cornelia Ave",41.945529,-87.646439,4074,3817,257,669
"Wilton Ave & Belmont Ave",41.94018,-87.65304,4074,3817,257,669
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,4072,3591,481,670
"Carpenter St & Huron St",41.894556,-87.653449,4072,3591,481,670
"Peoria St & Jackson Blvd",41.877749,-87.649633,4072,3934,138,671
"Jefferson St & Monroe St",41.880422,-87.642746,4072,3934,138,671
"Canal St & Madison St",41.882091,-87.639833,4069,3772,297,672
"Clark St & Randolph St",41.884576228,-87.63188991,4069,3772,297,672
"Southport Ave & Waveland Ave",41.94815,-87.66394,4068,3652,416,673
"Sheffield Ave & Waveland Ave",41.949399,-87.654529,4068,3652,416,673
"Hampden Ct & Diversey Pkwy",41.93262,-87.642385,4059,2163,1896,674
"Theater on the Lake",41.926277,-87.630834,4059,2163,1896,674
"Theater on the Lake",41.926277,-87.630834,4056,1493,2563,675
"Clark St & Lincoln Ave",41.915689,-87.6346,4056,1493,2563,675
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,4054,3257,797,676
"Blackstone Ave & 59th St",41.787877,-87.590461,4054,3257,797,676
"Woodlawn Ave & 55th St",41.795264,-87.596471,4054,3208,846,677
"Lake Park Ave & 56th St",41.793242,-87.587782,4054,3208,846,677
"Fairbanks Ct & Grand Ave",41.89186,-87.62062,4054,791,3263,678
"Lake Shore Dr & Monroe St",41.880958,-87.616743,4054,791,3263,678
"Canal St & Adams St",41.879255,-87.639904,4053,3602,451,679
"Michigan Ave & Madison St",41.882134,-87.625125,4053,3602,451,679
"Michigan Ave & Jackson Blvd",41.87785,-87.62408,4041,442,3599,680
"Museum Campus",41.865212,-87.617759,4041,442,3599,680
"Morgan St & Polk St",41.871737,-87.65103,4020,3835,185,681
"Halsted St & Polk St",41.87184,-87.64664,4020,3835,185,681
"900 W Harrison St",41.874754,-87.649807,4020,3023,997,682
"Halsted St & Maxwell St",41.864883,-87.647071,4020,3023,997,682
"Rush St & Cedar St",41.9023087012,-87.627690528,4016,1361,2655,683
"Streeter Dr & Grand Ave",41.892278,-87.612043,4016,1361,2655,683
"Milwaukee Ave & Grand Ave",41.891578,-87.648384,4010,3608,402,684
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,4010,3608,402,684
"Broadway & Granville Ave",41.9947796884,-87.6602845349,4001,2598,1403,685
"Lakefront Trail & Bryn Mawr Ave",41.9840441152,-87.6522812247,4001,2598,1403,685
"Lincoln Ave & Diversey Pkwy",41.932225,-87.658617,3997,3772,225,686
"Wilton Ave & Diversey Pkwy",41.932418,-87.652705,3997,3772,225,686
"Damen Ave & Division St",41.903266,-87.678435,3996,3469,527,687
"Damen Ave & Pierce Ave",41.9093960065,-87.6776919292,3996,3469,527,687
"Columbus Dr & Randolph St",41.884728,-87.619521,3993,2649,1344,688
"Theater on the Lake",41.926277,-87.630834,3993,2649,1344,688
"Franklin St & Chicago Ave",41.89680204,-87.63563839,3988,3773,215,689
"Larrabee St & Kingsbury St",41.897764,-87.642884,3988,3773,215,689
"Orleans St & Merchandise Mart Plaza",41.888243,-87.63639,3986,3310,676,690
"Wells St & Elm St",41.903222,-87.634324,3986,3310,676,690
"Sheffield Ave & Willow St",41.913688,-87.652855,3985,3563,422,691
"Sheffield Ave & Webster Ave",41.92154,-87.653818,3985,3563,422,691
"Fairbanks Ct & Grand Ave",41.89186,-87.62062,3985,3115,870,692
"Mies van der Rohe Way & Chestnut St",41.8985866514,-87.6219152258,3985,3115,870,692
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3980,2370,1610,693
"Wells St & Concord Ln",41.912133,-87.634656,3980,2370,1610,693
"Theater on the Lake",41.926277,-87.630834,3980,1864,2116,694
"Mies van der Rohe Way & Chicago Ave",41.89691,-87.621743,3980,1864,2116,694
"Montrose Harbor",41.963982,-87.638181,3978,2184,1794,695
"Sheridan Rd & Montrose Ave",41.96167,-87.65464,3978,2184,1794,695
"Clinton St & Washington Blvd",41.88338,-87.64117,3972,3650,322,696
"Clark St & Elm St",41.903233,-87.631253,3972,3650,322,696
"Lakeview Ave & Fullerton Pkwy",41.925858,-87.638973,3971,2798,1173,697
"Wells St & Concord Ln",41.912133,-87.634656,3971,2798,1173,697
"Kingsbury St & Erie St",41.8939139,-87.6417358,3964,3685,279,698
"Dearborn St & Monroe St",41.881319815,-87.6295209193,3964,3685,279,698
"Wood St & Milwaukee Ave",41.907655,-87.672552,3963,3455,508,699
"Milwaukee Ave & Wabansia Ave",41.912616,-87.681391,3963,3455,508,699
"Marshfield Ave & Cortland St",41.916017,-87.668879,3963,2269,1694,700
"Albany Ave & Bloomingdale Ave",41.9140267127,-87.705126462,3963,2269,1694,700
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3962,1346,2616,701
"Montrose Harbor",41.963982,-87.638181,3962,1346,2616,701
"Sheffield Ave & Waveland Ave",41.949399,-87.654529,3961,3110,851,702
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,3961,3110,851,702
"Dearborn St & Adams St",41.8793563587,-87.6297910363,3960,3268,692,703
"Indiana Ave & Roosevelt Rd",41.867888,-87.623041,3960,3268,692,703
"Theater on the Lake",41.926277,-87.630834,3955,2025,1930,704
"Clarendon Ave & Leland Ave",41.967968,-87.650001,3955,2025,1930,704
"Millennium Park",41.8810317,-87.62408432,3954,433,3521,705
"McCormick Place",41.8513751729,-87.6188346489,3954,433,3521,705
"Wells St & Concord Ln",41.912133,-87.634656,3952,2936,1016,706
"Clark St & Wrightwood Ave",41.929546,-87.643118,3952,2936,1016,706
"Canal St & Adams St",41.879255,-87.639904,3944,3747,197,707
"LaSalle St & Jackson Blvd",41.87817,-87.631985,3944,3747,197,707
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3942,1746,2196,708
"Sedgwick St & Webster Ave",41.922167,-87.638888,3942,1746,2196,708
"Michigan Ave & Oak St",41.90096039,-87.62377664,3940,2464,1476,709
"Wells St & Concord Ln",41.912133,-87.634656,3940,2464,1476,709
"Clark St & Lincoln Ave",41.915689,-87.6346,3939,2847,1092,710
"Wells St & Evergreen Ave",41.906724,-87.63483,3939,2847,1092,710
"Streeter Dr & Illinois St",41.891071,-87.6122,3938,216,3722,711
"Michigan Ave & Pearson St",41.89766,-87.62351,3938,216,3722,711
"Columbus Dr & Randolph St",41.884728,-87.619521,3937,2460,1477,712
"Michigan Ave & Washington St",41.8838927658,-87.6246491409,3937,2460,1477,712
"Halsted St & Wrightwood Ave",41.929143,-87.649077,3934,3122,812,713
"Halsted St & Dickens Ave",41.919936,-87.64883,3934,3122,812,713
"900 W Harrison St",41.874754,-87.649807,3931,3665,266,714
"Morgan St & Polk St",41.871737,-87.65103,3931,3665,266,714
"Ravenswood Ave & Berteau Ave",41.957921,-87.673567,3923,3837,86,715
"Ravenswood Ave & Irving Park Rd",41.95469,-87.67393,3923,3837,86,715
"Desplaines St & Kinzie St",41.888716036,-87.6444478533,3918,3430,488,716
"Ogden Ave & Race Ave",41.891795,-87.658751,3918,3430,488,716
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,3915,3653,262,717
"State St & Kinzie St",41.88918,-87.6277,3915,3653,262,717
"Ada St & Washington Blvd",41.88283,-87.661206,3914,3560,354,718
"Green St & Madison St",41.881859328,-87.6492637396,3914,3560,354,718
"Canal St & Adams St",41.879255,-87.639904,3913,3670,243,719
"LaSalle St & Washington St",41.882664,-87.63253,3913,3670,243,719
"Clarendon Ave & Gordon Ter",41.9578665242,-87.6495051384,3912,3272,640,720
"Sheridan Rd & Irving Park Rd",41.954245,-87.654406,3912,3272,640,720
"Clark St & Wellington Ave",41.9364968219,-87.6475386582,3911,3730,181,721
"Sheffield Ave & Wellington Ave",41.936253,-87.653566,3911,3730,181,721
"Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,3908,3604,304,722
"Loomis St & Lexington St",41.872187,-87.661501,3908,3604,304,722
"Rush St & Superior St",41.8957647456,-87.6259080327,3907,3726,181,723
"Clinton St & Washington Blvd",41.88338,-87.64117,3907,3726,181,723
"Aberdeen St & Jackson Blvd",41.87772613,-87.65478743,3905,3355,550,724
"Green St & Madison St",41.881859328,-87.6492637396,3905,3355,550,724
"Ellis Ave & 55th St",41.7943006205,-87.6014497734,3902,3201,701,725
"Lake Park Ave & 53rd St",41.7994942937,-87.5864498959,3902,3201,701,725
"Ashland Ave & Division St",41.90345,-87.667747,3898,3574,324,726
"Paulina Ave & North Ave",41.9098546522,-87.66993016,3898,3574,324,726
"Clark St & Wellington Ave",41.9364968219,-87.6475386582,3898,3387,511,727
"Halsted St & Roscoe St",41.94367,-87.64895,3898,3387,511,727
"Kingsbury St & Kinzie St",41.8891768326,-87.6385057718,3896,3652,244,728
"Franklin St & Monroe St",41.880317,-87.635185,3896,3652,244,728
"Clark St & Wellington Ave",41.9364968219,-87.6475386582,3895,3228,667,729
"Clark St & Wrightwood Ave",41.929546,-87.643118,3895,3228,667,729
"Montrose Harbor",41.963982,-87.638181,3894,2298,1596,730
"Clarendon Ave & Junior Ter",41.961004,-87.649603,3894,2298,1596,730
"Michigan Ave & Oak St",41.90096039,-87.62377664,3893,1173,2720,731
"Mies van der Rohe Way & Chestnut St",41.8985866514,-87.6219152258,3893,1173,2720,731
"Shields Ave & 31st St",41.838464,-87.635406,3892,3710,182,732
"State St & 33rd St",41.834734,-87.625813,3892,3710,182,732
"LaSalle St & Illinois St",41.890749,-87.63206,3887,3384,503,733
"Dearborn Pkwy & Delaware Pl",41.898969,-87.629912,3887,3384,503,733
"Franklin St & Quincy St",41.878724,-87.634793,3886,3794,92,734
"Canal St & Madison St",41.882091,-87.639833,3886,3794,92,734
"Clinton St & Washington Blvd",41.88338,-87.64117,3883,3668,215,735
"Dearborn St & Adams St",41.8793563587,-87.6297910363,3883,3668,215,735
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3878,1574,2304,736
"Clark St & North Ave",41.911974,-87.631942,3878,1574,2304,736
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3875,1816,2059,737
"Broadway & Barry Ave",41.937725,-87.644095,3875,1816,2059,737
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3869,2564,1305,738
"Sedgwick St & North Ave",41.910983,-87.638525,3869,2564,1305,738
"Morgan St & Lake St",41.8854833079,-87.6523048564,3865,3716,149,739
"Canal St & Madison St",41.882091,-87.639833,3865,3716,149,739
"Clinton St & Washington Blvd",41.88338,-87.64117,3858,3724,134,740
"Franklin St & Monroe St",41.880317,-87.635185,3858,3724,134,740
"Wacker Dr & Washington St Corral",41.88316,-87.63736,3856,3684,172,741
"Michigan Ave & Lake St",41.886024,-87.624117,3856,3684,172,741
"Halsted St & Archer Ave",41.847203,-87.646795,3855,3274,581,742
"Morgan St & 31st St",41.8378,-87.65114,3855,3274,581,742
"Burling St & Diversey Pkwy",41.93314,-87.64776,3847,3692,155,743
"Wilton Ave & Diversey Pkwy",41.932418,-87.652705,3847,3692,155,743
"Clinton St & Washington Blvd",41.88338,-87.64117,3846,3597,249,744
"Wabash Ave & Grand Ave",41.891738,-87.626937,3846,3597,249,744
"Harper Ave & 59th St",41.7879428129,-87.5883151702,3843,3426,417,745
"University Ave & 57th St",41.791478,-87.599861,3843,3426,417,745
"DuSable Lake Shore Dr & North Blvd",41.911722,-87.626804,3836,1218,2618,746
"Michigan Ave & Oak St",41.90096039,-87.62377664,3836,1218,2618,746
"Lake Shore Dr & Monroe St",41.880958,-87.616743,3836,418,3418,747
"Wabash Ave & Wacker Pl",41.886875,-87.62603,3836,418,3418,747
"Field Blvd & South Water St",41.8863490627,-87.6175165471,3836,2407,1429,748
"Lake Shore Dr & North Blvd",41.911722,-87.626804,3836,2407,1429,748
"Larrabee St & Webster Ave",41.921822,-87.64414,3830,3403,427,749
"Bissell St & Armitage Ave",41.91844,-87.65222,3830,3403,427,749
"Stetson Ave & South Water St",41.886835,-87.62232,3828,3382,446,750
"State St & Randolph St",41.8847302006,-87.6277335692,3828,3382,446,750
"Columbus Dr & Randolph St",41.884728,-87.619521,3827,3535,292,751
"Franklin St & Monroe St",41.880317,-87.635185,3827,3535,292,751
"Clinton St & Washington Blvd",41.88338,-87.64117,3826,3717,109,752
"Wabash Ave & Adams St",41.8794723523,-87.6256886059,3826,3717,109,752
"Sangamon St & Washington Blvd",41.883004,-87.651148,3826,3725,101,753
"Clinton St & Madison St",41.8827519657,-87.6411902905,3826,3725,101,753
"Dearborn St & Erie St",41.893992,-87.629318,3818,3377,441,754
"McClurg Ct & Erie St",41.894503,-87.617854,3818,3377,441,754
"Ellis Ave & 60th St",41.7850971464,-87.6010727606,3818,3196,622,755
